,period,state,stateDescription,electric-utilities,independent-power-producers,combined-heat-and-pwr-elect,elect-pwr-sector-gen-subtotal,combined-heat-and-pwr-comm,combined-heat-and-pwr-indust,indust-and-comm-gen-subtotal,total-net-generation,total-international-imports,total-supply,full-service-providers,energy-only-providers,facility-direct,total-elect-indust,direct-use,total-international-exports,estimated-losses,net-interstate-trade,unaccounted,total-disposition,net-trade-index,electric-utilities-units,independent-power-producers-units,combined-heat-and-pwr-elect-units,elect-pwr-sector-gen-subtotal-units,combined-heat-and-pwr-comm-units,combined-heat-and-pwr-indust-units,indust-and-comm-gen-subtotal-units,total-net-generation-units,total-international-imports-units,total-supply-units,full-service-providers-units,energy-only-providers-units,facility-direct-units,total-elect-indust-units,direct-use-units,total-international-exports-units,estimated-losses-units,net-interstate-trade-units,unaccounted-units,total-disposition-units,net-trade-index-units
63,2009,AR,Arkansas,45423149,8786161,1361416,55570726,2532,1884481,1887013,57457739,0.0,57457739,43155773,0,17331.0,43173104,1916328.0,0.0,2748289,9230836,389182,57457739,1.19,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
64,2005,AR,Arkansas,40545220,3997057,1214876,45757153,4243,2033112,2037355,47794509,0.0,47794509,46054897,0,110026.0,46164923,2083209.0,0.0,3085467,-3660114,2202150,47794509,0.93,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
65,2007,AR,Arkansas,45522928,6311131,846958,52681017,2136,1913082,1915219,54596236,0.0,54596236,47054891,0,0.0,47054891,1995012.0,0.0,2978220,1818168,749944,54596236,1.03,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
66,2011,AR,Arkansas,44714614,13204926,1452214,59371754,5504,1930278,1935782,61307536,0.0,61307536,47908965,0,18864.0,47927829,1958246.0,0.0,2961635,8156201,303626,61307536,1.15,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
67,2017,AR,Arkansas,54209258,3661247,1201212,59071717,43304,1660195,1703500,60775216,0.0,60775216,46071323,0,14628.0,46085951,1395048.0,0.0,2507003,10480612,306602,60775216,1.21,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
68,2015,AR,Arkansas,39538137,12944730,1320374,53803241,6294,1749893,1756187,55559428,0.0,55559428,46464703,0,451.0,46465154,1111439.0,0.0,2317377,4954516,710942,55559428,1.1,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
69,2018,AR,Arkansas,59485255,5503233,1325509,66313997,43584,1641771,1685355,67999352,,67999352,49587637,0,15071.0,49602708,1400990.0,,2558391,14164725,272537,67999352,1.26,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
70,2014,AR,Arkansas,48752895,9961883,1089454,59804232,7633,1780271,1787904,61592137,0.0,61592137,47080301,0,,47080301,1925932.0,0.0,2451468,9525175,609261,61592137,1.18,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
71,2020,AR,Arkansas,48634848,3606951,1210637,53452436,65451,1123372,1188823,54641259,0.0,54641259,45817238,0,33765.0,45851003,863245.0,0.0,2553638,5476123,-102750,54641259,1.11,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
72,2016,AR,Arkansas,43352105,14198248,1256411,58806764,43313,1594982,1638295,60445059,,60445059,46176078,0,12360.0,46188438,1336249.0,,2410625,10024512,485236,60445059,1.2,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
73,2013,AR,Arkansas,46547772,10369514,1531003,58448289,6336,1867867,1874203,60322492,0.0,60322492,46683034,0,0.0,46683034,2024920.0,0.0,2507796,8402516,704226,60322492,1.16,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
74,1991,AR,Arkansas,38365135,0,0,38365135,44957,2241153,2286110,40651245,0.0,40651245,28440257,0,0.0,28440257,2227895.0,0.0,2183780,8795107,29641691,40651245,1.28,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
75,1995,AR,Arkansas,39526825,0,0,39526825,48021,2397242,2445262,41972087,0.0,41972087,34671434,0,0.0,34671434,2384854.0,0.0,2646305,2943104,36345622,41972087,1.08,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
76,1990,AR,Arkansas,37053436,0,0,37053436,55375,1990787,2046162,39099598,0.0,39099598,27365296,0,0.0,27365296,2003697.0,0.0,2077595,8441119,28551515,39099598,1.28,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
77,1993,AR,Arkansas,38049072,1534,0,38050606,48662,2399384,2448046,40498652,0.0,40498652,31662933,0,0.0,31662933,2394744.0,0.0,2534100,4822988,33107506,40498652,1.14,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
78,1994,AR,Arkansas,39547768,743,0,39548511,47035,2436601,2483636,42032147,0.0,42032147,32619098,0,0.0,32619098,2425213.0,0.0,2477953,5445927,34073222,42032147,1.15,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
79,2000,AR,Arkansas,41486451,156,0,41486607,9626,2379533,2389160,43875767,0.0,43875767,41611188,0,0.0,41611188,2357831.0,0.0,3236654,-2777102,43372246,43875767,0.94,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
80,1992,AR,Arkansas,37369823,136,0,37369959,44830,2331314,2376143,39746102,0.0,39746102,28451112,0,0.0,28451112,2316191.0,0.0,2249168,7727644,29738523,39746102,1.24,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
81,2012,AR,Arkansas,44603847,16953039,1500191,63057077,6155,1942446,1948601,65005678,0.0,65005678,46826104,0,33463.0,46859567,1979856.0,,2537631,12827308,801315,65005678,1.25,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
82,2003,AR,Arkansas,41636514,5030391,1549514,48216418,7361,2177322,2184683,50401101,0.0,50401101,42841042,0,267217.0,43108259,2393069.0,0.0,3165359,2402445,1722645,50401101,1.05,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
83,1996,AR,Arkansas,43677535,297,0,43677832,40028,2315701,2355730,46033562,0.0,46033562,36136576,0,0.0,36136576,2317783.0,0.0,2804982,5440411,37749714,46033562,1.13,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
84,2002,AR,Arkansas,42873364,1247325,1304071,45424760,7937,2178947,2186884,47611644,0.0,47611644,42449558,0,183987.0,42633545,2363063.0,0.0,3197926,154852,1622958,47611644,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
85,1997,AR,Arkansas,42789637,4444,0,42794081,41799,2357719,2399518,45193599,0.0,45193599,36857530,0,0.0,36857530,2374581.0,0.0,2778945,3882185,38493237,45193599,1.09,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
86,2001,AR,Arkansas,44728133,31,538784,45266948,8608,1916480,1925088,47192036,0.0,47192036,41732449,0,0.0,41732449,2312787.0,0.0,3263622,1004453,1189199,47192036,1.02,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
87,2004,AR,Arkansas,45055455,3203971,1435953,49695379,4483,2227771,2232253,51927632,0.0,51927632,43416762,0,255598.0,43672360,2395564.0,0.0,3200136,2896081,2156660,51927632,1.06,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
88,1998,AR,Arkansas,43198908,3100,0,43202008,41182,2422110,2463292,45665300,0.0,45665300,39315195,0,0.0,39315195,2416635.0,0.0,2795613,1749928,41078027,45665300,1.04,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
89,2006,AR,Arkansas,42068467,6966391,1150978,50185836,3768,1979099,1982867,52168703,0.0,52168703,46635624,0,0.0,46635624,2054330.0,0.0,3023801,276970,2230254,52168703,1.01,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
90,2008,AZ,Arizona,94452931,24216673,370153,119039757,69505,349910,419415,119459172,87916.0,119547088,76267916,0,,76267916,455943.0,350592.0,4858304,36618328,996006,119547088,1.44,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
91,1999,AZ,Arizona,83095924,0,434337,83530261,36167,326745,362912,83893173,0.0,83893173,57661946,0,0.0,57661946,363441.0,0.0,4523703,19060974,60250471,83893173,1.29,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
92,2010,AZ,Arizona,91232664,19953866,187909,111374439,72359,304160,376519,111750957,248887.0,111999844,72831737,0,1293.0,72833030,408959.0,180279.0,4499462,33439022,639093,111999844,1.43,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
93,2009,AZ,Arizona,89640192,21713272,301143,111654607,71842,244801,316643,111971250,122984.0,112094234,73432929,0,,73432929,344107.0,354017.0,4674551,32626672,661958,112094234,1.41,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
94,2005,AZ,Arizona,82914964,16390466,1688843,100994273,71835,412546,484381,101478654,103114.0,101581768,69390686,0,0.0,69390686,501869.0,182646.0,4637778,24060096,3310061,101581768,1.31,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
95,2007,AZ,Arizona,88825573,22209365,1853067,112888005,70600,382365,452966,113340970,223213.0,113564183,77193206,0,0.0,77193206,493500.0,221286.0,4885749,29540165,1230277,113564183,1.35,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
96,2011,AZ,Arizona,94061752,13616317,82838,107760907,68293,296157,364450,108125357,497461.0,108622818,74935850,0,7795.0,74943645,399316.0,70782.0,4631040,28103262,474772,108622818,1.35,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
97,2017,AZ,Arizona,91623406,14048853,13363,105685622,166143,0,166143,105851765,60613.0,105912378,77573510,0,72752.0,77646262,200818.0,1158.0,4223835,23323738,516568,105912378,1.28,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
